,polish,check,english,sentence,polish_html,english_html,sentence_html
78,posługiwania się,używać,use of,że umiejętność posługiwania się językiem polskim przydaje się,"<h4 style='color:rgb(0, 180, 250)'>posługiwania się</h4>    <p><i><h6>że umiejętność posługiwania się językiem polskim przydaje się </h6></i></p>",<h3>use of</h3>,<p><i><h6>że umiejętność posługiwania się językiem polskim przydaje się </h6></i></p>
79,posługiwać się,używać,to use/operate,i osoba już będzie mogła posługiwać językiem polskim,"<h4 style='color:rgb(0, 180, 250)'>posługiwać się</h4>    <p><i><h6>i osoba już będzie mogła posługiwać językiem polskim </h6></i></p>",<h3>to use/operate</h3>,<p><i><h6>i osoba już będzie mogła posługiwać językiem polskim </h6></i></p>
80,powinieneś,powinieneś,you should,które powinniście wiedzieć na temat języka polskiego,"<h4 style='color:rgb(0, 180, 250)'>powinieneś</h4>    <p><i><h6>które powinniście wiedzieć na temat języka polskiego </h6></i></p>",<h3>you should</h3>,<p><i><h6>które powinniście wiedzieć na temat języka polskiego </h6></i></p>
81,powtarzać się,powtarzać się,to repeat oneself,niektóre się powtarzają i da się tego z łatwością nauczyć,"<h4 style='color:rgb(0, 180, 250)'>powtarzać się</h4>    <p><i><h6>niektóre się powtarzają i da się tego z łatwością nauczyć </h6></i></p>",<h3>to repeat oneself</h3>,<p><i><h6>niektóre się powtarzają i da się tego z łatwością nauczyć </h6></i></p>
82,powód,powód,reason,"Różne są powody, dla których ludzie postanawiają uczyć się polskiego","<h4 style='color:rgb(0, 180, 250)'>powód</h4>    <p><i><h6>Różne są powody, dla których ludzie postanawiają uczyć się polskiego </h6></i></p>",<h3>reason</h3>,"<p><i><h6>Różne są powody, dla których ludzie postanawiają uczyć się polskiego </h6></i></p>"
83,poziom,poziom,level,"tak na poziomie komunikacji codziennej,","<h4 style='color:rgb(0, 180, 250)'>poziom</h4>    <p><i><h6>tak na poziomie komunikacji codziennej, </h6></i></p>",<h3>level</h3>,"<p><i><h6>tak na poziomie komunikacji codziennej, </h6></i></p>"
84,pragnąć,pragnienie,to desire,a teraz pragną usystematyzować swoją wiedzę,"<h4 style='color:rgb(0, 180, 250)'>pragnąć</h4>    <p><i><h6>a teraz pragną usystematyzować swoją wiedzę </h6></i></p>",<h3>to desire</h3>,<p><i><h6>a teraz pragną usystematyzować swoją wiedzę </h6></i></p>
85,praktyka,ćwiczyć,practice,"ale brakuje wam regularnej praktyki,","<h4 style='color:rgb(0, 180, 250)'>praktyka</h4>    <p><i><h6>ale brakuje wam regularnej praktyki, </h6></i></p>",<h3>practice</h3>,"<p><i><h6>ale brakuje wam regularnej praktyki, </h6></i></p>"
86,proces,proces,process,"Z tego, co mówisz, to jest to jednak długi i skomplikowany proces,","<h4 style='color:rgb(0, 180, 250)'>proces</h4>    <p><i><h6>Z tego, co mówisz, to jest to jednak długi i skomplikowany proces, </h6></i></p>",<h3>process</h3>,"<p><i><h6>Z tego, co mówisz, to jest to jednak długi i skomplikowany proces, </h6></i></p>"
87,przełamać,złamać,to break,i trud związany z przełamaniem swoich wewnętrznych oporów,"<h4 style='color:rgb(0, 180, 250)'>przełamać</h4>    <p><i><h6>i trud związany z przełamaniem swoich wewnętrznych oporów </h6></i></p>",<h3>to break</h3>,<p><i><h6>i trud związany z przełamaniem swoich wewnętrznych oporów </h6></i></p>
88,przodek,przodek,ancestor,Nasi przodkowie co prawda musieli do tego łacińskiego alfabetu,"<h4 style='color:rgb(0, 180, 250)'>przodek</h4>    <p><i><h6>Nasi przodkowie co prawda musieli do tego łacińskiego alfabetu </h6></i></p>",<h3>ancestor</h3>,<p><i><h6>Nasi przodkowie co prawda musieli do tego łacińskiego alfabetu </h6></i></p>
89,przydawać się,być przydatnym,to be useful,że umiejętność posługiwania się językiem polskim przydaje się,"<h4 style='color:rgb(0, 180, 250)'>przydawać się</h4>    <p><i><h6>że umiejętność posługiwania się językiem polskim przydaje się </h6></i></p>",<h3>to be useful</h3>,<p><i><h6>że umiejętność posługiwania się językiem polskim przydaje się </h6></i></p>
90,przygoda,przygoda,adventure,które dopiero zaczynają swoją przygodę z językiem polskim,"<h4 style='color:rgb(0, 180, 250)'>przygoda</h4>    <p><i><h6>które dopiero zaczynają swoją przygodę z językiem polskim </h6></i></p>",<h3>adventure</h3>,<p><i><h6>które dopiero zaczynają swoją przygodę z językiem polskim </h6></i></p>
91,przypadek,walizka,case/accident," Mamy siedem przypadków, mamy trzy rodzaje","<h4 style='color:rgb(0, 180, 250)'>przypadek</h4>    <p><i><h6> Mamy siedem przypadków, mamy trzy rodzaje </h6></i></p>",<h3>case/accident</h3>,"<p><i><h6> Mamy siedem przypadków, mamy trzy rodzaje </h6></i></p>"
92,przystąpić,przystąp,to join/proceed,"i samego procesu uczenia się, zanim przystąpicie","<h4 style='color:rgb(0, 180, 250)'>przystąpić</h4>    <p><i><h6>i samego procesu uczenia się, zanim przystąpicie </h6></i></p>",<h3>to join/proceed</h3>,"<p><i><h6>i samego procesu uczenia się, zanim przystąpicie </h6></i></p>"
93,pół,połowa,half,"przez pół odcinka, ja również poprowadzę swój kurs","<h4 style='color:rgb(0, 180, 250)'>pół</h4>    <p><i><h6>przez pół odcinka, ja również poprowadzę swój kurs </h6></i></p>",<h3>half</h3>,"<p><i><h6>przez pół odcinka, ja również poprowadzę swój kurs </h6></i></p>"
94,realny,prawdziwy,real,"i w każdym etapie wyznaczyć krótkoterminowe, realne cele","<h4 style='color:rgb(0, 180, 250)'>realny</h4>    <p><i><h6>i w każdym etapie wyznaczyć krótkoterminowe, realne cele </h6></i></p>",<h3>real</h3>,"<p><i><h6>i w każdym etapie wyznaczyć krótkoterminowe, realne cele </h6></i></p>"
95,region,region,region,A co z innymi regionami na świecie,"<h4 style='color:rgb(0, 180, 250)'>region</h4>    <p><i><h6>A co z innymi regionami na świecie </h6></i></p>",<h3>region</h3>,<p><i><h6>A co z innymi regionami na świecie </h6></i></p>
96,regularność,prawidłowość,regularity, Regularność zajęć z języka polskiego,"<h4 style='color:rgb(0, 180, 250)'>regularność</h4>    <p><i><h6> Regularność zajęć z języka polskiego </h6></i></p>",<h3>regularity</h3>,<p><i><h6> Regularność zajęć z języka polskiego </h6></i></p>
97,regularny,regularny,regular,"ale brakuje wam regularnej praktyki,","<h4 style='color:rgb(0, 180, 250)'>regularny</h4>    <p><i><h6>ale brakuje wam regularnej praktyki, </h6></i></p>",<h3>regular</h3>,"<p><i><h6>ale brakuje wam regularnej praktyki, </h6></i></p>"
98,reszta,odpoczynek,rest/remainder,"a z całą resztą za tydzień, w czwartek o dziewiętnastej,","<h4 style='color:rgb(0, 180, 250)'>reszta</h4>    <p><i><h6>a z całą resztą za tydzień, w czwartek o dziewiętnastej, </h6></i></p>",<h3>rest/remainder</h3>,"<p><i><h6>a z całą resztą za tydzień, w czwartek o dziewiętnastej, </h6></i></p>"
99,rosja,rosja,russia,"na Białorusi, Rosji czy Ukrainie","<h4 style='color:rgb(0, 180, 250)'>rosja</h4>    <p><i><h6>na Białorusi, Rosji czy Ukrainie </h6></i></p>",<h3>russia</h3>,"<p><i><h6>na Białorusi, Rosji czy Ukrainie </h6></i></p>"
100,rzeczownik,rzeczownik,noun,"Pokutuje stereotyp, że najtrudniejsze w polskiej gramatyce są rzeczowniki","<h4 style='color:rgb(0, 180, 250)'>rzeczownik</h4>    <p><i><h6>Pokutuje stereotyp, że najtrudniejsze w polskiej gramatyce są rzeczowniki </h6></i></p>",<h3>noun</h3>,"<p><i><h6>Pokutuje stereotyp, że najtrudniejsze w polskiej gramatyce są rzeczowniki </h6></i></p>"
101,różny,różne,different/various,"Różne są powody, dla których ludzie postanawiają uczyć się polskiego","<h4 style='color:rgb(0, 180, 250)'>różny</h4>    <p><i><h6>Różne są powody, dla których ludzie postanawiają uczyć się polskiego </h6></i></p>",<h3>different/various</h3>,"<p><i><h6>Różne są powody, dla których ludzie postanawiają uczyć się polskiego </h6></i></p>"
102,skomplikowany,skomplikowane,complicated,"Z tego, co mówisz, to jest to jednak długi i skomplikowany proces,","<h4 style='color:rgb(0, 180, 250)'>skomplikowany</h4>    <p><i><h6>Z tego, co mówisz, to jest to jednak długi i skomplikowany proces, </h6></i></p>",<h3>complicated</h3>,"<p><i><h6>Z tego, co mówisz, to jest to jednak długi i skomplikowany proces, </h6></i></p>"
103,spotkać się,spotykać się,to meet,"spotkamy się na naszych kursach,","<h4 style='color:rgb(0, 180, 250)'>spotkać się</h4>    <p><i><h6>spotkamy się na naszych kursach, </h6></i></p>",<h3>to meet</h3>,"<p><i><h6>spotkamy się na naszych kursach, </h6></i></p>"
104,stereotyp,stereotyp,stereotype,"Pokutuje stereotyp, że najtrudniejsze w polskiej gramatyce są rzeczowniki","<h4 style='color:rgb(0, 180, 250)'>stereotyp</h4>    <p><i><h6>Pokutuje stereotyp, że najtrudniejsze w polskiej gramatyce są rzeczowniki </h6></i></p>",<h3>stereotype</h3>,"<p><i><h6>Pokutuje stereotyp, że najtrudniejsze w polskiej gramatyce są rzeczowniki </h6></i></p>"
105,stracić,stracić,to lose,Ile stracisz na to czasu,"<h4 style='color:rgb(0, 180, 250)'>stracić</h4>    <p><i><h6>Ile stracisz na to czasu </h6></i></p>",<h3>to lose</h3>,<p><i><h6>Ile stracisz na to czasu </h6></i></p>
106,stres,naprężenie,stress,"A wierzcie mi, że reakcje Polaków wynagrodzą wam ten stres","<h4 style='color:rgb(0, 180, 250)'>stres</h4>    <p><i><h6>A wierzcie mi, że reakcje Polaków wynagrodzą wam ten stres </h6></i></p>",<h3>stress</h3>,"<p><i><h6>A wierzcie mi, że reakcje Polaków wynagrodzą wam ten stres </h6></i></p>"
107,syczący,syczący,hissing,syczącym i szeleszczącym dźwiękom,"<h4 style='color:rgb(0, 180, 250)'>syczący</h4>    <p><i><h6>syczącym i szeleszczącym dźwiękom </h6></i></p>",<h3>hissing</h3>,<p><i><h6>syczącym i szeleszczącym dźwiękom </h6></i></p>
108,systematyczność,prawidłowość,consistency,jest systematyczność,"<h4 style='color:rgb(0, 180, 250)'>systematyczność</h4>    <p><i><h6>jest systematyczność </h6></i></p>",<h3>consistency</h3>,<p><i><h6>jest systematyczność </h6></i></p>
109,szeleszczący,szelest,rustling,syczącym i szeleszczącym dźwiękom,"<h4 style='color:rgb(0, 180, 250)'>szeleszczący</h4>    <p><i><h6>syczącym i szeleszczącym dźwiękom </h6></i></p>",<h3>rustling</h3>,<p><i><h6>syczącym i szeleszczącym dźwiękom </h6></i></p>
110,sąsiad,sąsiad,neighbor,"Polskich sąsiadów, sklepy i firmy znajdziecie też","<h4 style='color:rgb(0, 180, 250)'>sąsiad</h4>    <p><i><h6>Polskich sąsiadów, sklepy i firmy znajdziecie też </h6></i></p>",<h3>neighbor</h3>,"<p><i><h6>Polskich sąsiadów, sklepy i firmy znajdziecie też </h6></i></p>"
111,sława,sława,fame,ponieważ język polski cieszy się złą sławą,"<h4 style='color:rgb(0, 180, 250)'>sława</h4>    <p><i><h6>ponieważ język polski cieszy się złą sławą </h6></i></p>",<h3>fame</h3>,<p><i><h6>ponieważ język polski cieszy się złą sławą </h6></i></p>
112,słowiański,słowiański,slavonic,"ale może być to szybciej, jeżeli już znasz jakiś język słowiański","<h4 style='color:rgb(0, 180, 250)'>słowiański</h4>    <p><i><h6>ale może być to szybciej, jeżeli już znasz jakiś język słowiański </h6></i></p>",<h3>slavonic</h3>,"<p><i><h6>ale może być to szybciej, jeżeli już znasz jakiś język słowiański </h6></i></p>"
113,to zajmie ci,to zajmie ci,it will take you,to zajmie ci to trochę dłużej,"<h4 style='color:rgb(0, 180, 250)'>to zajmie ci</h4>    <p><i><h6>to zajmie ci to trochę dłużej </h6></i></p>",<h3>it will take you</h3>,<p><i><h6>to zajmie ci to trochę dłużej </h6></i></p>
114,typowy,typowy,typical,"dodać kilka liter, które odpowiadają tym typowym polskim","<h4 style='color:rgb(0, 180, 250)'>typowy</h4>    <p><i><h6>dodać kilka liter, które odpowiadają tym typowym polskim </h6></i></p>",<h3>typical</h3>,"<p><i><h6>dodać kilka liter, które odpowiadają tym typowym polskim </h6></i></p>"
115,ukraina,ukraina,ukraine,"na Białorusi, Rosji czy Ukrainie","<h4 style='color:rgb(0, 180, 250)'>ukraina</h4>    <p><i><h6>na Białorusi, Rosji czy Ukrainie </h6></i></p>",<h3>ukraine</h3>,"<p><i><h6>na Białorusi, Rosji czy Ukrainie </h6></i></p>"
116,układ,system,system,"Ale tak naprawdę wszystkie końcówki są w logicznych układach,","<h4 style='color:rgb(0, 180, 250)'>układ</h4>    <p><i><h6>Ale tak naprawdę wszystkie końcówki są w logicznych układach, </h6></i></p>",<h3>system</h3>,"<p><i><h6>Ale tak naprawdę wszystkie końcówki są w logicznych układach, </h6></i></p>"
117,umiejętność,umiejętność,skill/ability,że umiejętność posługiwania się językiem polskim przydaje się,"<h4 style='color:rgb(0, 180, 250)'>umiejętność</h4>    <p><i><h6>że umiejętność posługiwania się językiem polskim przydaje się </h6></i></p>",<h3>skill/ability</h3>,<p><i><h6>że umiejętność posługiwania się językiem polskim przydaje się </h6></i></p>
118,uruchamiać,biegać,to start/launch,"Od października Easy Polish uruchamia kursy językowe,","<h4 style='color:rgb(0, 180, 250)'>uruchamiać</h4>    <p><i><h6>Od października Easy Polish uruchamia kursy językowe, </h6></i></p>",<h3>to start/launch</h3>,"<p><i><h6>Od października Easy Polish uruchamia kursy językowe, </h6></i></p>"
119,usystematyzować,systematyzować,to systematize,a teraz pragną usystematyzować swoją wiedzę,"<h4 style='color:rgb(0, 180, 250)'>usystematyzować</h4>    <p><i><h6>a teraz pragną usystematyzować swoją wiedzę </h6></i></p>",<h3>to systematize</h3>,<p><i><h6>a teraz pragną usystematyzować swoją wiedzę </h6></i></p>
120,wewnętrzny,wewnętrzny,internal,i trud związany z przełamaniem swoich wewnętrznych oporów,"<h4 style='color:rgb(0, 180, 250)'>wewnętrzny</h4>    <p><i><h6>i trud związany z przełamaniem swoich wewnętrznych oporów </h6></i></p>",<h3>internal</h3>,<p><i><h6>i trud związany z przełamaniem swoich wewnętrznych oporów </h6></i></p>
121,wieś,wieś,village,założone przed wieloma laty polskie miasteczka i wsie,"<h4 style='color:rgb(0, 180, 250)'>wieś</h4>    <p><i><h6>założone przed wieloma laty polskie miasteczka i wsie </h6></i></p>",<h3>village</h3>,<p><i><h6>założone przed wieloma laty polskie miasteczka i wsie </h6></i></p>
122,wpaść,wpaść,to drop by/stop by,"Jeżeli wpadliście na ten pomysł,","<h4 style='color:rgb(0, 180, 250)'>wpaść</h4>    <p><i><h6>Jeżeli wpadliście na ten pomysł, </h6></i></p>",<h3>to drop by/stop by</h3>,"<p><i><h6>Jeżeli wpadliście na ten pomysł, </h6></i></p>"
123,wschód,wschód,east,"Na przykład dla osób ze Wschodu, z Białorusi, z Ukrainy, z Rosji,","<h4 style='color:rgb(0, 180, 250)'>wschód</h4>    <p><i><h6>Na przykład dla osób ze Wschodu, z Białorusi, z Ukrainy, z Rosji, </h6></i></p>",<h3>east</h3>,"<p><i><h6>Na przykład dla osób ze Wschodu, z Białorusi, z Ukrainy, z Rosji, </h6></i></p>"
124,wskazówka,wskazówka,tip/hint,"Czy masz w takim razie jakieś wskazówki dla osób, które zaczynają","<h4 style='color:rgb(0, 180, 250)'>wskazówka</h4>    <p><i><h6>Czy masz w takim razie jakieś wskazówki dla osób, które zaczynają </h6></i></p>",<h3>tip/hint</h3>,"<p><i><h6>Czy masz w takim razie jakieś wskazówki dla osób, które zaczynają </h6></i></p>"
125,wspólny,pospolity,common,który dzieli naszą wspólną pasję,"<h4 style='color:rgb(0, 180, 250)'>wspólny</h4>    <p><i><h6>który dzieli naszą wspólną pasję </h6></i></p>",<h3>common</h3>,<p><i><h6>który dzieli naszą wspólną pasję </h6></i></p>
126,współlokator,współlokator,roommate,"Nie będziecie musieli zamęczać już swoich współlokatorów,","<h4 style='color:rgb(0, 180, 250)'>współlokator</h4>    <p><i><h6>Nie będziecie musieli zamęczać już swoich współlokatorów, </h6></i></p>",<h3>roommate</h3>,"<p><i><h6>Nie będziecie musieli zamęczać już swoich współlokatorów, </h6></i></p>"
127,wybrać się,iść,to enjoy/venture out,"Może się więc zdarzyć, że wybierzecie się do fryzjera","<h4 style='color:rgb(0, 180, 250)'>wybrać się</h4>    <p><i><h6>Może się więc zdarzyć, że wybierzecie się do fryzjera </h6></i></p>",<h3>to enjoy/venture out</h3>,"<p><i><h6>Może się więc zdarzyć, że wybierzecie się do fryzjera </h6></i></p>"
128,wychodzić,wychodzić,to go out/exit,i wychodzi to trzydzieści pięć końcówek,"<h4 style='color:rgb(0, 180, 250)'>wychodzić</h4>    <p><i><h6>i wychodzi to trzydzieści pięć końcówek </h6></i></p>",<h3>to go out/exit</h3>,<p><i><h6>i wychodzi to trzydzieści pięć końcówek </h6></i></p>
129,wykorzystać,używać,to use/utilize,"Być może już wiecie coś, co będziecie mogli wykorzystać","<h4 style='color:rgb(0, 180, 250)'>wykorzystać</h4>    <p><i><h6>Być może już wiecie coś, co będziecie mogli wykorzystać </h6></i></p>",<h3>to use/utilize</h3>,"<p><i><h6>Być może już wiecie coś, co będziecie mogli wykorzystać </h6></i></p>"
130,wynagrodzić,nagroda,to reward/to make up for,"A wierzcie mi, że reakcje Polaków wynagrodzą wam ten stres","<h4 style='color:rgb(0, 180, 250)'>wynagrodzić</h4>    <p><i><h6>A wierzcie mi, że reakcje Polaków wynagrodzą wam ten stres </h6></i></p>",<h3>to reward/to make up for</h3>,"<p><i><h6>A wierzcie mi, że reakcje Polaków wynagrodzą wam ten stres </h6></i></p>"
131,wyznaczyć,określić,to designate/appoint,"i w każdym etapie wyznaczyć krótkoterminowe, realne cele","<h4 style='color:rgb(0, 180, 250)'>wyznaczyć</h4>    <p><i><h6>i w każdym etapie wyznaczyć krótkoterminowe, realne cele </h6></i></p>",<h3>to designate/appoint</h3>,"<p><i><h6>i w każdym etapie wyznaczyć krótkoterminowe, realne cele </h6></i></p>"
132,wyzwanie,wyzwanie,challenge,do tego trudnego wyzwania,"<h4 style='color:rgb(0, 180, 250)'>wyzwanie</h4>    <p><i><h6>do tego trudnego wyzwania </h6></i></p>",<h3>challenge</h3>,<p><i><h6>do tego trudnego wyzwania </h6></i></p>
133,wzbudzić,wzbudzać,to arouse/raise,Entuzjazmu znajomych na pewno to nie wzbudzi,"<h4 style='color:rgb(0, 180, 250)'>wzbudzić</h4>    <p><i><h6>Entuzjazmu znajomych na pewno to nie wzbudzi </h6></i></p>",<h3>to arouse/raise</h3>,<p><i><h6>Entuzjazmu znajomych na pewno to nie wzbudzi </h6></i></p>
134,właśnie,dokładnie,exactly, Pewnie zareagowali właśnie tak,"<h4 style='color:rgb(0, 180, 250)'>właśnie</h4>    <p><i><h6> Pewnie zareagowali właśnie tak </h6></i></p>",<h3>exactly</h3>,<p><i><h6> Pewnie zareagowali właśnie tak </h6></i></p>
135,zachodni,zachodni,western,A osoby z Europy Zachodniej i ze Stanów Zjednoczonych,"<h4 style='color:rgb(0, 180, 250)'>zachodni</h4>    <p><i><h6>A osoby z Europy Zachodniej i ze Stanów Zjednoczonych </h6></i></p>",<h3>western</h3>,<p><i><h6>A osoby z Europy Zachodniej i ze Stanów Zjednoczonych </h6></i></p>
136,zaimponować,zaimponować,to impress,"nie tylko do tego, żeby zaimponować małej grupie językowych nerdów,","<h4 style='color:rgb(0, 180, 250)'>zaimponować</h4>    <p><i><h6>nie tylko do tego, żeby zaimponować małej grupie językowych nerdów, </h6></i></p>",<h3>to impress</h3>,"<p><i><h6>nie tylko do tego, żeby zaimponować małej grupie językowych nerdów, </h6></i></p>"
137,zająć,zająć,to take care of,ile czasu zajęło ci nauczenie się polskiego?,"<h4 style='color:rgb(0, 180, 250)'>zająć</h4>    <p><i><h6>ile czasu zajęło ci nauczenie się polskiego? </h6></i></p>",<h3>to take care of</h3>,<p><i><h6>ile czasu zajęło ci nauczenie się polskiego? </h6></i></p>
138,zajęcia,zajęcia,classes, Regularność zajęć z języka polskiego,"<h4 style='color:rgb(0, 180, 250)'>zajęcia</h4>    <p><i><h6> Regularność zajęć z języka polskiego </h6></i></p>",<h3>classes</h3>,<p><i><h6> Regularność zajęć z języka polskiego </h6></i></p>
139,zależy,to zależy,depends on,"Oczywiście to zależy, skąd pochodzisz i jaki jest twój język ojczysty","<h4 style='color:rgb(0, 180, 250)'>zależy</h4>    <p><i><h6>Oczywiście to zależy, skąd pochodzisz i jaki jest twój język ojczysty </h6></i></p>",<h3>depends on</h3>,"<p><i><h6>Oczywiście to zależy, skąd pochodzisz i jaki jest twój język ojczysty </h6></i></p>"
140,zamęczać,dręczyć,to hassle/pester,"Nie będziecie musieli zamęczać już swoich współlokatorów,","<h4 style='color:rgb(0, 180, 250)'>zamęczać</h4>    <p><i><h6>Nie będziecie musieli zamęczać już swoich współlokatorów, </h6></i></p>",<h3>to hassle/pester</h3>,"<p><i><h6>Nie będziecie musieli zamęczać już swoich współlokatorów, </h6></i></p>"
141,zareagować,reagować,to react, Pewnie zareagowali właśnie tak,"<h4 style='color:rgb(0, 180, 250)'>zareagować</h4>    <p><i><h6> Pewnie zareagowali właśnie tak </h6></i></p>",<h3>to react</h3>,<p><i><h6> Pewnie zareagowali właśnie tak </h6></i></p>
142,zastanawiać się,zastanawiać się,to wonder,"to zastanawiacie się, co wam po tej informacji,","<h4 style='color:rgb(0, 180, 250)'>zastanawiać się</h4>    <p><i><h6>to zastanawiacie się, co wam po tej informacji, </h6></i></p>",<h3>to wonder</h3>,"<p><i><h6>to zastanawiacie się, co wam po tej informacji, </h6></i></p>"
143,założony,założony,established/founded,założone przed wieloma laty polskie miasteczka i wsie,"<h4 style='color:rgb(0, 180, 250)'>założony</h4>    <p><i><h6>założone przed wieloma laty polskie miasteczka i wsie </h6></i></p>",<h3>established/founded</h3>,<p><i><h6>założone przed wieloma laty polskie miasteczka i wsie </h6></i></p>
144,zdarzyć się,wydarzyć się,to happen,"Może się więc zdarzyć, że wybierzecie się do fryzjera","<h4 style='color:rgb(0, 180, 250)'>zdarzyć się</h4>    <p><i><h6>Może się więc zdarzyć, że wybierzecie się do fryzjera </h6></i></p>",<h3>to happen</h3>,"<p><i><h6>Może się więc zdarzyć, że wybierzecie się do fryzjera </h6></i></p>"
145,zdecydowany,zdecydowany,decided/determined/overwhelming,"Tutaj zdecydowana większość ludzi mówi po polsku,","<h4 style='color:rgb(0, 180, 250)'>zdecydowany</h4>    <p><i><h6>Tutaj zdecydowana większość ludzi mówi po polsku, </h6></i></p>",<h3>decided/determined/overwhelming</h3>,"<p><i><h6>Tutaj zdecydowana większość ludzi mówi po polsku, </h6></i></p>"
146,zdziwienie,niespodzianka,surprise/amazement,i wielkiemu zdziwieniu znajomych,"<h4 style='color:rgb(0, 180, 250)'>zdziwienie</h4>    <p><i><h6>i wielkiemu zdziwieniu znajomych </h6></i></p>",<h3>surprise/amazement</h3>,<p><i><h6>i wielkiemu zdziwieniu znajomych </h6></i></p>
147,zdziwiony,zaskoczony,surprised,"My też jesteśmy bardzo zdziwione, ale naprawdę okazuje się,","<h4 style='color:rgb(0, 180, 250)'>zdziwiony</h4>    <p><i><h6>My też jesteśmy bardzo zdziwione, ale naprawdę okazuje się, </h6></i></p>",<h3>surprised</h3>,"<p><i><h6>My też jesteśmy bardzo zdziwione, ale naprawdę okazuje się, </h6></i></p>"
148,znajomy,znajomy,acquaintance,i wielkiemu zdziwieniu znajomych,"<h4 style='color:rgb(0, 180, 250)'>znajomy</h4>    <p><i><h6>i wielkiemu zdziwieniu znajomych </h6></i></p>",<h3>acquaintance</h3>,<p><i><h6>i wielkiemu zdziwieniu znajomych </h6></i></p>
149,zniechęcić,zniechęcać,to discourage,"Co zrobić, żeby nie dać się zniechęcić negatywnym reakcjom otoczenia","<h4 style='color:rgb(0, 180, 250)'>zniechęcić</h4>    <p><i><h6>Co zrobić, żeby nie dać się zniechęcić negatywnym reakcjom otoczenia </h6></i></p>",<h3>to discourage</h3>,"<p><i><h6>Co zrobić, żeby nie dać się zniechęcić negatywnym reakcjom otoczenia </h6></i></p>"
150,związany,zawiązany,associated/related,i trud związany z przełamaniem swoich wewnętrznych oporów,"<h4 style='color:rgb(0, 180, 250)'>związany</h4>    <p><i><h6>i trud związany z przełamaniem swoich wewnętrznych oporów </h6></i></p>",<h3>associated/related</h3>,<p><i><h6>i trud związany z przełamaniem swoich wewnętrznych oporów </h6></i></p>
151,zwracać,powrót,to return,ale jeżeli będziecie zwracać na to więcej uwagi,"<h4 style='color:rgb(0, 180, 250)'>zwracać</h4>    <p><i><h6>ale jeżeli będziecie zwracać na to więcej uwagi </h6></i></p>",<h3>to return</h3>,<p><i><h6>ale jeżeli będziecie zwracać na to więcej uwagi </h6></i></p>
152,łaciński,łacina,latin,"dlatego że już umieją alfabet łaciński,","<h4 style='color:rgb(0, 180, 250)'>łaciński</h4>    <p><i><h6>dlatego że już umieją alfabet łaciński, </h6></i></p>",<h3>latin</h3>,"<p><i><h6>dlatego że już umieją alfabet łaciński, </h6></i></p>"
153,łatwość,łatwość,ease/simplicity,niektóre się powtarzają i da się tego z łatwością nauczyć,"<h4 style='color:rgb(0, 180, 250)'>łatwość</h4>    <p><i><h6>niektóre się powtarzają i da się tego z łatwością nauczyć </h6></i></p>",<h3>ease/simplicity</h3>,<p><i><h6>niektóre się powtarzają i da się tego z łatwością nauczyć </h6></i></p>
154,śmiać się,śmiać się,to laugh,"Jest to śmiała, a nawet brawurowa decyzja,","<h4 style='color:rgb(0, 180, 250)'>śmiać się</h4>    <p><i><h6>Jest to śmiała, a nawet brawurowa decyzja, </h6></i></p>",<h3>to laugh</h3>,"<p><i><h6>Jest to śmiała, a nawet brawurowa decyzja, </h6></i></p>"
155,śmiała,śmiała,bold,"Jest to śmiała, a nawet brawurowa decyzja","<h4 style='color:rgb(0, 180, 250)'>śmiała</h4>    <p><i><h6>Jest to śmiała, a nawet brawurowa decyzja </h6></i></p>",<h3>bold</h3>,"<p><i><h6>Jest to śmiała, a nawet brawurowa decyzja </h6></i></p>"
